Account_Number,Total_Spend,Avg_Spend,Transaction_Count,Age,Income,Total_Loyalty,Cluster,PCA1,PCA2
ANMR67994206137698,399.38,399.38,1,69,90011.62,443,0,-2.0544556459348526,2.138494626301144
AOKJ09150863218122,1704.55,1704.55,1,52,124054.01,468,0,-0.7582323744341332,1.5137084028417613
AOLZ35138345629334,3798.67,3798.67,1,52,148331.67,13,2,1.2613635900504918,-0.6001407519321652
AOTS14937191045141,3079.97,3079.97,1,31,93273.18,102,1,0.548497625470735,-1.3045954630040406
AOUM32713538676259,2255.32,2255.32,1,23,20897.66,282,1,-0.2561665133623487,-1.0055538801921746
AOYM61706166846482,648.31,648.31,1,38,108619.98,353,3,-1.8254861945754435,0.28632776279961475
AOYV66453629213501,3434.4,3434.4,1,68,69793.24,51,2,0.9003593515342332,0.1469254182289552
APDH69300522144267,3548.11,3548.11,1,68,105591.54,460,2,1.070046736953004,2.159540510433571
APHA81634811050272,2817.91,2817.91,1,37,133156.5,393,1,0.3325989203493819,0.4537962548400072
APWC55587094042245,231.86,231.86,1,37,112341.77,462,3,-2.2239955221506738,0.7678150578757914
AQDZ57129015071380,3354.79,3354.79,1,35,114140.67,370,1,0.8589863997392404,0.19432038216826047
AQIQ18762099069319,1514.44,1514.44,1,29,54059.45,404,3,-0.969237720103218,-0.05160240791142535
AQOR87526322844133,3238.66,3238.66,1,61,80265.51,393,2,0.7498668041079429,1.4534653274956555
AQSZ34868839062467,2741.95,2741.95,1,61,97541.68,158,2,0.22923980019533124,0.39892649617059106
AQUW74950334670577,1671.18,1671.18,1,32,141158.19,61,3,-0.8472188242419569,-1.3073342580452212
AQVY78847798882437,2033.11,2033.11,1,38,21001.47,461,0,-0.44926166017644353,0.5525357380952746
AQXH78191907499216,602.18,602.18,1,56,85216.62,308,0,-1.874928312071226,0.8709269083664792
ARCT00567352635951,2724.5,2724.5,1,36,120559.93,112,1,0.20199761927958096,-0.946075326165871
ARDB35743189100492,4397.27,4397.27,1,53,32321.19,373,2,1.8878684078729135,0.8407877218814964
ARJH98893903169646,89.37,89.37,1,60,38442.0,467,0,-2.367036335943859,1.69990022688041
ARMO89451193246719,4934.48,4934.48,1,36,52902.07,388,1,2.420092677608746,0.14751214221449796
ARMX57879704157429,2733.1,2733.1,1,59,95807.2,56,2,0.20655995102493951,-0.18019206505198723
ARNU55099070194305,2583.05,2583.05,1,54,58906.74,55,0,0.052071691645548854,-0.5123558315787797
ARUR42672339907615,1665.93,1665.93,1,42,144140.53,308,3,-0.8175035082150744,0.3371708304138488
ARYI37685507896793,835.72,835.72,1,65,137523.71,332,0,-1.6318542498752504,1.538474858683346
ASPN58357178620892,1420.86,1420.86,1,51,72062.88,473,0,-1.0450879736390513,1.3639222934350834
ASPP53967379487148,4573.17,4573.17,1,69,124031.77,455,2,2.0877732242195686,2.2132649391915917
ASRJ16437702170470,2838.39,2838.39,1,59,121205.19,337,2,0.35016106656746543,1.2041361944852453
ASTK78183380703315,2521.95,2521.95,1,62,65601.35,404,0,0.03950157046626534,1.527419078133956
ASWW37616522898907,4836.51,4836.51,1,40,84218.75,149,1,2.296855188615533,-0.7071870889371054
ASXC10349561199899,3891.2,3891.2,1,23,67358.55,334,1,1.3773142102282698,-0.6705901534982479
ASXC28277565399837,1531.85,1531.85,1,45,76826.47,34,0,-0.9928206243723213,-0.9765059045492572
ATAD27172098402709,1582.07,1582.07,1,54,43364.18,436,0,-0.8926318451138744,1.2576227022233626
ATBP22087121894523,232.08,232.08,1,45,23348.28,436,0,-2.2353726279914388,0.8019383185181717
ATBW59119186233922,3605.01,3605.01,1,43,51492.56,383,1,1.103496955148393,0.4740344127308812
ATEE22128816903583,2448.04,2448.04,1,48,115621.49,400,2,-0.03218202385511291,0.9707775927371516
ATER03371421374727,1394.74,1394.74,1,68,94960.33,310,0,-1.08480227758613,1.4615959920450317
ATFG35174656426018,2052.84,2052.84,1,26,25976.46,6,3,-0.49109103633394047,-2.145961490277981
ATKH85574216435990,4713.67,4713.67,1,28,122792.67,96,1,2.1695495028021115,-1.4274102299262332
ATOD84679087737316,1830.24,1830.24,1,44,35840.03,140,0,-0.6884420411338354,-0.6327572397889797
ATOI61917798768299,4321.0,4321.0,1,23,88402.49,351,1,1.8079455220302336,-0.5447108446747998
ATQQ22092521094235,4743.75,4743.75,1,25,126133.47,226,1,2.2157352055379658,-0.9501535656092666
ATTL75681134315329,4448.71,4448.71,1,56,43895.37,381,2,1.942037385057753,1.049025426208245
ATWL22426537932219,2656.61,2656.61,1,43,124719.24,139,2,0.14055599597643456,-0.47526201174795646
ATWQ05877155590627,3802.28,3802.28,1,45,23583.89,384,1,1.2964239726599083,0.5004933798776712
ATYO90963515911753,603.97,603.97,1,58,97158.62,352,0,-1.8655445234302344,1.2028291607720678
AUFS02769990450820,8.6,8.6,1,35,24040.32,49,3,-2.5094350321537564,-1.4884809767962486
AUJT29328507196129,4175.64,4175.64,1,69,81713.41,465,2,1.6901303862621797,2.160560070548336
AUPX15116966672521,3410.14,3410.14,1,67,63463.46,159,2,0.8892545082619651,0.5921961850078777
AUPY37676497378053,2370.23,2370.23,1,66,112996.65,20,0,-0.1538563821039828,0.03158015375365805
AURJ86711724985963,4233.17,4233.17,1,33,49907.72,219,1,1.7020383519653162,-0.7863925969044749
AURW42296651444865,4020.46,4020.46,1,44,104618.29,243,2,1.5036424179878833,-0.010724925515160952
AVEG24412336132850,998.19,998.19,1,65,143043.22,228,0,-1.483612895085715,1.0603128541479483
AVGS66203858864078,2715.26,2715.26,1,69,54269.57,375,0,0.2279017768175124,1.6916598199866344
AVMD43563108232111,534.1,534.1,1,31,101142.5,440,3,-1.9301935411883209,0.34657073259878773
AVMG26739206042942,2289.32,2289.32,1,18,43131.68,484,1,-0.19513043158241836,-0.23708139752313495
AVXW85578002443236,375.04,375.04,1,66,54474.24,314,0,-2.1001844048349194,1.300320211511178
AVZK75997539291881,656.22,656.22,1,22,50198.05,151,3,-1.854826518406277,-1.5702930768969239
AWBG27303248274635,2629.76,2629.76,1,46,37234.34,166,1,0.10803056520197239,-0.4248265144804581
AWCD92360376811872,3519.18,3519.18,1,57,20897.73,306,2,1.0086660269411611,0.700800406173934
AWOG55278451271053,754.7,754.7,1,57,116219.53,270,0,-1.7247864551655996,0.8148855972668119
AXBE58565337773031,2503.81,2503.81,1,64,94453.1,328,0,0.01560952634142099,1.3373667745052047
AXFS27640547398622,4727.35,4727.35,1,69,113202.35,167,2,2.2021323303976077,0.8283715630670149
AXJU43183436953102,2465.66,2465.66,1,52,89196.0,310,0,-0.028351144712257074,0.670543714609635
AXMG24051026583879,223.81,223.81,1,63,87307.28,298,0,-2.2491106599866906,1.1674252647909586
AXPS74076856449255,3454.26,3454.26,1,66,25134.0,95,2,0.9199804632771349,0.14671659605435894
AXYS33732608082872,750.34,750.34,1,68,141134.23,188,0,-1.733845711455931,1.0136618193740519
AYCA26557647566573,748.74,748.74,1,23,107678.78,341,3,-1.7316228867578285,-0.4860474257579841
AYEE37799450549522,3048.98,3048.98,1,22,53460.47,500,1,0.5621224155676257,0.041766636868065685
AYEU61186801093609,2871.74,2871.74,1,46,129852.89,19,2,0.3396815716869415,-0.8881429537677191
AYFO41485726029254,1132.31,1132.31,1,60,113125.24,206,0,-1.3583528853125557,0.6422787944265551
AYLF77035476630779,4790.37,4790.37,1,62,74035.66,67,2,2.2452381246502897,-0.07369134530018923
AYNY25873608055822,4290.51,4290.51,1,62,43429.67,68,2,1.7463782360551066,-0.1377264919439829
AYPH82322583376223,4032.02,4032.02,1,46,21276.13,147,1,1.493518803795313,-0.5767836548801628
AYQP53589832435951,1145.95,1145.95,1,18,111486.74,379,3,-1.333929067408422,-0.5413677731497465
AYRO70152424431029,856.71,856.71,1,28,40092.13,38,3,-1.6702813574413062,-1.8458374101578143
AYTB07121024234473,665.14,665.14,1,46,149139.34,112,3,-1.8330577364108933,-0.36669498474619416
AYZM40646278866380,3436.83,3436.83,1,43,139749.25,375,2,0.9460714074619164,0.66046259076883
AZAT66270266045095,4542.52,4542.52,1,35,48814.76,108,1,1.99471514869496,-1.2215153225562156
AZFQ81520895217680,3854.98,3854.98,1,47,73918.96,227,2,1.3347890443002204,-0.01797544152666374
AZGF88894897894172,1271.9,1271.9,1,18,114495.16,58,3,-1.2501964094833924,-2.046388010023224
AZHF31248914274258,3127.54,3127.54,1,65,124000.27,407,2,0.6477132396920972,1.8206783506857378
AZPO31231555057052,4057.99,4057.99,1,66,70729.86,276,2,1.5470367439799841,1.1031277038121856
AZSG40991650811364,2347.73,2347.73,1,66,126504.42,111,2,-0.16283065382947,0.4940454769254985
AZSQ31818034307148,2191.38,2191.38,1,21,66473.39,477,3,-0.28957885044348836,-0.06751445003657819
AZVF27982579988359,4971.44,4971.44,1,39,63462.8,243,1,2.4400358721045863,-0.36653829089313433
AZVP55154526075699,3584.43,3584.43,1,70,106470.23,402,2,1.0991926436807107,1.9831524751058347
AZWK50800509083069,3058.49,3058.49,1,53,86246.96,381,2,0.5683040239663474,1.0351957618122067
AZWU55456515414238,147.71,147.71,1,49,82394.43,105,0,-2.353776393196536,-0.4163541895366053
AZZM97775323863773,1326.28,1326.28,1,69,99119.66,192,0,-1.167138140300786,0.9653127636261545
BAFP63272237369504,2601.2,2601.2,1,53,111104.0,458,2,0.12791817771541955,1.4672306292212511
BAIA47692105336514,1193.83,1193.83,1,39,77233.55,38,3,-1.3288798900298704,-1.236006298590018
BAIC81366206661020,4040.16,4040.16,1,68,136127.74,215,2,1.5296512176971122,1.0753247675850761
BARX14528606892174,3186.28,3186.28,1,21,140807.04,107,1,0.6573759053823256,-1.638167208710219
BAWF55693186062314,1309.23,1309.23,1,34,122405.53,450,3,-1.1573752953209806,0.5768999085881705
BAXP70990317211359,1117.34,1117.34,1,43,44146.05,163,0,-1.3913379580351835,-0.5397042894345849
BBAL21410707163485,2077.35,2077.35,1,50,29393.18,292,0,-0.4230459893111657,0.34714957615604647
BBFG02865505224114,4297.41,4297.41,1,32,84641.25,264,1,1.7753016214188408,-0.5360063498703376
BBIY87978889753585,1331.0,1331.0,1,24,138496.23,312,3,-1.1544181820800474,-0.5071038471336105
BBKI31222649232724,2554.51,2554.51,1,38,143579.95,311,3,0.0624339415552814,0.145762714055806
BBLN28443290811609,2695.4,2695.4,1,38,124130.61,312,1,0.19993306895856955,0.09942123123496255
BBMZ72466390321430,658.18,658.18,1,22,58651.82,291,3,-1.8338203785360696,-0.8903160642504472
BBNH64704870428048,810.43,810.43,1,35,76133.0,203,3,-1.68876726436482,-0.6460105133181149
BBSF82103887815141,2697.09,2697.09,1,42,48190.62,41,1,0.15882883556294206,-1.1764928778336006
BBSH21956932050650,4594.25,4594.25,1,56,29943.88,483,2,2.0978281065238056,1.491679484816407
BBTF99695280707718,4176.35,4176.35,1,55,89613.1,106,2,1.6416517804617121,-0.17346873441653834
BBZI62776572565920,3377.69,3377.69,1,32,66560.92,254,1,0.8603521052595038,-0.6136437745049071
BCKH03044077811096,3432.06,3432.06,1,45,134744.59,425,2,0.947751731684108,0.9781975576630939
BCKI38578180779491,1168.82,1168.82,1,64,77331.48,8,0,-1.3508380086431127,-0.18997700318789978
BCKZ71171321940247,2658.18,2658.18,1,57,138065.05,299,2,0.16807622014988052,0.9755771650140104
BCNU09706704302419,3067.13,3067.13,1,19,41835.0,402,1,0.5652979392830065,-0.591234190304143
BCPX01175556774735,1346.47,1346.47,1,18,99914.13,470,3,-1.1247897002392078,-0.14539294808619233
BCRP36376274208600,4852.83,4852.83,1,44,84850.61,133,2,2.3121086197316423,-0.5913075014747456
BCSG63395975778977,759.92,759.92,1,43,65064.49,149,0,-1.744950803696258,-0.547375074745937
BCVJ10488206456200,3004.73,3004.73,1,45,23484.05,364,1,0.5033649575959849,0.41893671959417367
BCWJ10082592306511,2863.43,2863.43,1,54,105749.75,15,2,0.33025919031887635,-0.5875927014363194
BCZB89810723227478,821.75,821.75,1,58,85270.49,77,0,-1.6865952610636545,-0.1245665206858796
BDIL84081144157281,1428.22,1428.22,1,42,123804.5,384,3,-1.0456600313679558,0.6476162932891161
BDLM53995211542401,568.15,568.15,1,51,63934.01,330,0,-1.9096358463144838,0.6843060097605405
BDXI07983400771601,3238.62,3238.62,1,18,98093.5,303,1,0.7287748155022905,-0.9662065360671582
BDZC54033596900705,4957.36,4957.36,1,64,34824.17,404,2,2.4502220925491955,1.506032804986996
BEDB91626969672783,3819.03,3819.03,1,19,101232.58,436,1,1.3218361663726865,-0.29432820954151856
BEDL16758646339534,1522.66,1522.66,1,19,107908.92,195,3,-0.9844743339051427,-1.3747864435943917
BELY89632174357483,4457.67,4457.67,1,52,59546.88,191,2,1.9271386345568533,0.004200182270594886
BESI55469726142448,677.06,677.06,1,34,122596.33,358,3,-1.7957866322632492,0.15460277216221313
BETA90463766046558,2432.52,2432.52,1,33,116853.09,101,3,-0.09004429510083826,-1.1448336443012161
BEWJ50632705241694,4226.88,4226.88,1,63,49819.19,350,2,1.7207398181197149,1.2538038226087138
BFDF91823637251129,2550.07,2550.07,1,27,102212.89,266,1,0.04445357671025995,-0.6917687766800518
BFED49161019953210,3653.82,3653.82,1,18,68505.38,458,1,1.1568499284446518,-0.31769999881170896
BFFY15439044890932,18.37,18.37,1,68,29546.17,278,0,-2.460706406882058,1.1690391505671998
BFGG68287808970794,1567.92,1567.92,1,43,142628.42,84,3,-0.9434756364512117,-0.6716721743817071
BFIJ64423598648409,1463.46,1463.46,1,29,122709.6,283,3,-1.0273823412072902,-0.4479842440500308
BFLW88551088921710,1716.95,1716.95,1,42,78638.43,282,3,-0.7779335493167544,0.04970403436918651
BFXC24582470807092,1002.38,1002.38,1,68,135858.9,381,0,-1.4597387627005858,1.9045903985177122
BFZR79826225557419,1978.59,1978.59,1,62,46284.0,204,0,-0.5271095302302053,0.5465433747771983
BGCM13177905340388,4964.32,4964.32,1,25,28303.94,291,1,2.431329015999005,-0.89320721598041
BGCV06664651847887,389.96,389.96,1,58,87674.36,48,0,-2.118013675719851,-0.24806893505027064
BGDR27369219167710,3842.46,3842.46,1,53,144521.88,413,2,1.356238165500931,1.3193592596364188
BGQZ39427134247064,4000.5,4000.5,1,65,110824.41,145,2,1.477550567915327,0.5407051619350922
BGSP10104433050980,1918.3,1918.3,1,61,104354.52,257,0,-0.5735151759634918,0.8951113936650569
BHNW79889373630152,3071.07,3071.07,1,61,44562.7,352,2,0.574307431185546,1.1736684449871786
BHRC56959070569510,44.81,44.81,1,61,115520.89,460,0,-2.4028469414183546,1.908473849873915
BHRW85772603336063,3896.64,3896.64,1,19,91871.41,203,1,1.3675786435070882,-1.4154932221925438
BHWK06757896833557,3527.61,3527.61,1,68,35724.76,438,2,1.0387395016231706,1.881097422135173
BIBM29118722824718,501.28,501.28,1,25,32386.63,110,3,-2.014958544562205,-1.6630298529819088
BIES85658513797275,2474.0,2474.0,1,49,138377.23,381,2,-0.00598433795994766,0.9854916718391891
BIHZ94616222772610,674.07,674.07,1,63,91508.59,457,0,-1.7818296320460256,1.9189453176415407
BIXP07893798775239,38.03,38.03,1,20,48816.29,402,3,-2.4358107356170247,-0.47761369690418637
BJBH24044012178563,1659.93,1659.93,1,29,147110.2,43,3,-0.8608020052560049,-1.519314117142379
BJEA42247042848501,98.01,98.01,1,41,124126.28,353,3,-2.3682859804311502,0.47644633483823773
BJII55143442111754,1643.19,1643.19,1,24,23479.08,254,3,-0.8659053383622525,-1.0735467797454925
BJIN65895247609606,1242.48,1242.48,1,19,79549.0,132,3,-1.2736078582895574,-1.7378833986569278
BJJC85006030798436,3958.17,3958.17,1,33,124935.23,379,1,1.4588919330573755,0.15913332416427314
BJOZ22053970774544,3128.92,3128.92,1,24,108413.59,475,1,0.6450686826064996,0.155601800404408
BJPF94842209001431,2759.58,2759.58,1,57,43066.31,323,0,0.2605946990622085,0.8486023575733584
BJSJ44076634933965,2922.48,2922.48,1,24,59019.12,278,1,0.40926398034755196,-0.8920096630905172
BJST88782988727544,4304.58,4304.58,1,59,27269.05,450,2,1.806961362794518,1.4767193310440971
BJVA34176097137779,1988.08,1988.08,1,33,60920.97,77,3,-0.5401584501117712,-1.3909276228007024
BKCK57826388032427,2214.67,2214.67,1,33,51285.75,318,1,-0.2855858789608843,-0.28465051676117453
BKEB48825267913885,3655.29,3655.29,1,27,25303.46,489,1,1.1596802463002645,0.14695112754463108
BKFU04956686510389,1596.99,1596.99,1,47,47695.87,5,0,-0.9348660949033302,-1.0921621726698998
BKQU29582923616188,3924.17,3924.17,1,66,107515.69,147,2,1.4020386916513057,0.590505455081264
BKSB41179779631994,1987.5,1987.5,1,68,114123.02,334,0,-0.4919741741712785,1.613079653278671
BKTR68569771433608,1060.11,1060.11,1,57,32330.17,132,0,-1.4496929846519164,-0.04983043179373892
BKWN60361624860704,1200.29,1200.29,1,30,97235.73,103,3,-1.314160389892444,-1.3072250821963862
BKXL30611390045892,712.67,712.67,1,18,144650.24,293,3,-1.7705968992315997,-0.8559196059176625
BLAL90855765789379,3864.2,3864.2,1,49,149348.84,172,2,1.3461580049918689,0.007184798170148379
BLAT22216107051843,129.93,129.93,1,26,145574.25,383,3,-2.334289522677014,-0.041028908033280874
BLME01901134843391,3594.99,3594.99,1,32,141915.5,445,1,1.1091733140572166,0.4706742410226148
BLMS60580823006799,2290.44,2290.44,1,23,56830.61,321,1,-0.21213173548520814,-0.7324637626319555
BLOK49811180981660,1764.86,1764.86,1,34,101522.93,291,3,-0.7287594621549864,-0.2310101776646852
